[06/12/22 16:15:42] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:15:55] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:16:34] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:16:44] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:17:03] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:17:34] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:19:22] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:20:55] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:21:24] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:22:50] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:23:26] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:25:08] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:25:38] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:27:00] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:31:00] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:31:43] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:31:55] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:33:13] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:34:26] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:35:56] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:51:18] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:54:57] [INFO] received Windows console close event; shutting log-core down
[06/12/22 16:59:16] [INFO] received Windows console close event; shutting log-core down
[06/12/22 17:13:29] [INFO] received Windows console close event; shutting log-core down
[06/12/22 22:14:53] [INFO] received Windows console close event; shutting log-core down
[06/12/22 22:24:10] [INFO] received Windows console close event; shutting log-core down
[06/12/22 22:26:16] [INFO] received Windows console close event; shutting log-core down
[06/12/22 22:38:51] [INFO] received Windows console close event; shutting log-core down
[06/12/22 22:41:23] [INFO] received Windows console close event; shutting log-core down
[06/12/22 22:43:57] [INFO] received Windows console close event; shutting log-core down
[06/12/22 22:46:04] [INFO] received Windows console close event; shutting log-core down
[06/12/22 22:48:03] [INFO] received Windows console close event; shutting log-core down
[06/12/22 22:49:59] [INFO] received Windows console close event; shutting log-core down
[06/12/22 22:54:57] [INFO] received Windows console close event; shutting log-core down
[06/12/22 22:57:49] [INFO] received Windows console close event; shutting log-core down
[06/12/22 23:00:13] [INFO] received Windows console close event; shutting log-core down
[06/12/22 23:01:16] [INFO] received Windows console close event; shutting log-core down
[06/12/22 23:02:47] [INFO] received Windows console close event; shutting log-core down
[06/12/22 23:04:28] [INFO] received Windows console close event; shutting log-core down
[06/12/22 23:05:06] [INFO] received Windows console close event; shutting log-core down
[06/12/22 23:12:36] [INFO] received Windows console close event; shutting log-core down
